date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:35:38	308501/308501	---MCZ	200	added ('OK')	text/html	etag:W/%22ea742148464b5737726142f951f9d00e%22	https://booqi.me/fr/blog/increase-customer-loyalty-with-subscription-modules	./downloaded-site-booqi/booqi.me/fr/blog/increase-customer-loyalty-with-subscription-modules.html	(from https://booqi.me/fr/blog)
09:35:39	311584/311584	---MCZ	200	added ('OK')	text/html	etag:W/%22c7005df8be53dec5f0e5d0d01b398067%22	https://booqi.me/fr/blog/the-power-of-smart-emails-for-your-visitors	./downloaded-site-booqi/booqi.me/fr/blog/the-power-of-smart-emails-for-your-visitors.html	(from https://booqi.me/fr/blog)
09:35:40	309896/309896	---MCZ	200	added ('OK')	text/html	etag:W/%220f04e1afa515f0136f5713dbd05935ad%22	https://booqi.me/fr/blog/how-capacity-poules-help-optimize-your-venue	./downloaded-site-booqi/booqi.me/fr/blog/how-capacity-poules-help-optimize-your-venue.html	(from https://booqi.me/fr/blog)
09:35:41	311679/311679	---MCZ	200	added ('OK')	text/html	etag:W/%2206da4aca46975473d1cbd700a047732f%22	https://booqi.me/fr/blog/why-working-with-customer-groups-makes-the-difference	./downloaded-site-booqi/booqi.me/fr/blog/why-working-with-customer-groups-makes-the-difference.html	(from https://booqi.me/fr/blog)
09:35:42	301786/301786	---MCZ	200	added ('OK')	text/html	etag:W/%22b4fce192e20b22bf3c1fc5bc130d8f60%22	https://booqi.me/de/blog/customer-story-klotti-freizeitpark-digitizes-ticket-sales-with-booqi	./downloaded-site-booqi/booqi.me/de/blog/customer-story-klotti-freizeitpark-digitizes-ticket-sales-with-booqi.html	(from https://booqi.me/de/blog)
09:35:43	306204/306204	---MCZ	200	added ('OK')	text/html	etag:W/%22fada269f07f7d47adfa243a0f1387e7f%22	https://booqi.me/de/blog/booqi-vouchers-boost-revenue-attract-new-visitors-and-offer-total-flexibility	./downloaded-site-booqi/booqi.me/de/blog/booqi-vouchers-boost-revenue-attract-new-visitors-and-offer-total-flexibility.html	(from https://booqi.me/de/blog)
09:35:44	307986/307986	---MCZ	200	added ('OK')	text/html	etag:W/%22ea742148464b5737726142f951f9d00e%22	https://booqi.me/de/blog/increase-customer-loyalty-with-subscription-modules	./downloaded-site-booqi/booqi.me/de/blog/increase-customer-loyalty-with-subscription-modules.html	(from https://booqi.me/de/blog)
09:35:45	311116/311116	---MCZ	200	added ('OK')	text/html	etag:W/%22c7005df8be53dec5f0e5d0d01b398067%22	https://booqi.me/de/blog/the-power-of-smart-emails-for-your-visitors	./downloaded-site-booqi/booqi.me/de/blog/the-power-of-smart-emails-for-your-visitors.html	(from https://booqi.me/de/blog)
09:35:46	309470/309470	---MCZ	200	added ('OK')	text/html	etag:W/%220f04e1afa515f0136f5713dbd05935ad%22	https://booqi.me/de/blog/how-capacity-poules-help-optimize-your-venue	./downloaded-site-booqi/booqi.me/de/blog/how-capacity-poules-help-optimize-your-venue.html	(from https://booqi.me/de/blog)
09:35:47	311034/311034	---MCZ	200	added ('OK')	text/html	etag:W/%2206da4aca46975473d1cbd700a047732f%22	https://booqi.me/de/blog/why-working-with-customer-groups-makes-the-difference	./downloaded-site-booqi/booqi.me/de/blog/why-working-with-customer-groups-makes-the-difference.html	(from https://booqi.me/de/blog)
09:35:48	301712/301712	---MCZ	200	added ('OK')	text/html	etag:W/%22b4fce192e20b22bf3c1fc5bc130d8f60%22	https://booqi.me/es/blog/customer-story-klotti-freizeitpark-digitizes-ticket-sales-with-booqi	./downloaded-site-booqi/booqi.me/es/blog/customer-story-klotti-freizeitpark-digitizes-ticket-sales-with-booqi.html	(from https://booqi.me/es/blog)
09:35:49	306186/306186	---MCZ	200	added ('OK')	text/html	etag:W/%22fada269f07f7d47adfa243a0f1387e7f%22	https://booqi.me/es/blog/booqi-vouchers-boost-revenue-attract-new-visitors-and-offer-total-flexibility	./downloaded-site-booqi/booqi.me/es/blog/booqi-vouchers-boost-revenue-attract-new-visitors-and-offer-total-flexibility.html	(from https://booqi.me/es/blog)
09:35:50	308102/308102	---MCZ	200	added ('OK')	text/html	etag:W/%22ea742148464b5737726142f951f9d00e%22	https://booqi.me/es/blog/increase-customer-loyalty-with-subscription-modules	./downloaded-site-booqi/booqi.me/es/blog/increase-customer-loyalty-with-subscription-modules.html	(from https://booqi.me/es/blog)
09:35:51	311749/311749	---MCZ	200	added ('OK')	text/html	etag:W/%22c7005df8be53dec5f0e5d0d01b398067%22	https://booqi.me/es/blog/the-power-of-smart-emails-for-your-visitors	./downloaded-site-booqi/booqi.me/es/blog/the-power-of-smart-emails-for-your-visitors.html	(from https://booqi.me/es/blog)
09:35:52	309433/309433	---MCZ	200	added ('OK')	text/html	etag:W/%220f04e1afa515f0136f5713dbd05935ad%22	https://booqi.me/es/blog/how-capacity-poules-help-optimize-your-venue	./downloaded-site-booqi/booqi.me/es/blog/how-capacity-poules-help-optimize-your-venue.html	(from https://booqi.me/es/blog)
09:35:53	311119/311119	---MCZ	200	added ('OK')	text/html	etag:W/%2206da4aca46975473d1cbd700a047732f%22	https://booqi.me/es/blog/why-working-with-customer-groups-makes-the-difference	./downloaded-site-booqi/booqi.me/es/blog/why-working-with-customer-groups-makes-the-difference.html	(from https://booqi.me/es/blog)
